ID,age,state,city,gender,education,salaryinthousands,race,year,marital_status
1,36,Vermont,Florence,Male,,245,White,2022,Married
2,26,New Yor,Malverne,Female,Less than high school,95,Blac or African American,2019,Married
3,46,Virginia,Copper Hill,Female,Bachelor’s degree,85,Native Hawaiian or Other Pacific Islander,2019,Divorced
4,60,Wyoming,innear,Female,"Some college, no degree",45,White,2018,Married
5,67,California,Santa Barbara,Male,Associate degree,65,White,2017,Married
6,67,Michigan,Dearborn,Male,Associate degree,85,Blac or African American,2021,Single
7,70,Missouri,Linneus,Male,Bachelor’s degree,85,White,2020,Divorced
8,25,Vermont,Canaan,Female,Bachelor’s degree,75,Blac or African American,2016,Divorced
9,74,Oregon,Falls City,Male,Associate degree,85,White,2010,Divorced
10,38,Pennsylvania,Frederic,Male,Bachelor’s degree,145,Native Hawaiian or Other Pacific Islander,2011,Married
11,67,Missouri,McGir,Male,Doctoral degree,95,White,2015,Married
12,37,Indiana,Cutler,Male,"Some college, no degree",85,Blac or African American,2014,Single
13,69,Texas,Fentress,Female,Bachelor’s degree,245,White,2021,Divorced
14,52,Arizona,Overgaard,Male,Master’s degree,95,White,2019,Married
15,20,Georgia,Atlanta,Female,Less than high school,85,Native Hawaiian or Other Pacific Islander,2011,Married
16,37,Oregon,Portland,Male,Doctoral degree,145,Native Hawaiian or Other Pacific Islander,2018,Single
17,27,Pennsylvania,Farrell,Male,Master’s degree,35,Asian,2010,Single
18,48,Texas,De Berry,Female,"Some college, no degree",105,Native Hawaiian or Other Pacific Islander,2015,Single
19,50,North Carolina,Trenton,Female,Master’s degree,35,Blac or African American,2014,Single
20,56,Texas,Overton,Female,Less than high school,285,Blac or African American,2017,Divorced
21,39,New Yor,Westford,Male,Less than high school,105,Native Hawaiian or Other Pacific Islander,2010,Single
22,18,Pennsylvania,White Mills,Male,Master’s degree,75,Blac or African American,2012,Married
23,38,Washington,Seattle,Female,"Some college, no degree",245,White,2017,Married
24,25,entucy,South Union,Female,"Some college, no degree",285,Blac or African American,2018,Married
25,27,Tennessee,Enville,Female,Master’s degree,55,Native Hawaiian or Other Pacific Islander,2017,Single
26,40,Virginia,Exmore,Male,Less than high school,35,Native Hawaiian or Other Pacific Islander,2020,Single
27,75,Olahoma,Afton,Male,High school diploma or equivalent,285,White,2010,Married
28,47,California,San Jose,Female,Bachelor’s degree,185,White,2021,Divorced
29,19,Montana,Hingham,Female,Master’s degree,125,Blac or African American,2020,Widowed
30,41,Puerto Rico,Lluveras,Male,Less than high school,215,American Indian or Alasa Native,2012,Divorced
31,37,entucy,Louisville,Female,Bachelor’s degree,245,Asian,2011,Divorced
32,21,New Yor,Elmsford,Male,Doctoral degree,165,American Indian or Alasa Native,2021,Divorced
33,34,California,Petaluma,Female,Doctoral degree,75,White,2014,Single
34,47,South Daota,Big Stone City,Male,Master’s degree,45,Blac or African American,2011,Separated
35,46,Michigan,Lansing,Male,High school diploma or equivalent,145,Native Hawaiian or Other Pacific Islander,2018,Married
36,30,Florida,Oxford,Male,Associate degree,185,Native Hawaiian or Other Pacific Islander,2014,Married
37,20,Texas,Rule,Male,Associate degree,95,White,2016,Divorced
38,36,Florida,Port Charlotte,Female,Master’s degree,215,Asian,2012,Married
39,72,South Carolina,Clio,Female,High school diploma or equivalent,55,Asian,2011,Single
40,48,Virginia,Cluster Springs,Male,"Some college, no degree",85,White,2018,Married
41,54,Florida,Fruitland Par,Female,Associate degree,165,Native Hawaiian or Other Pacific Islander,2019,Married
42,18,Florida,Altoona,Female,Master’s degree,55,White,2012,Divorced
43,35,Washington,Vancouver,Male,Bachelor’s degree,105,White,2015,Divorced
44,25,Iowa,Wyoming,Female,Bachelor’s degree,45,Asian,2020,Single
45,35,West Virginia,Shady Spring,Female,Master’s degree,65,White,2016,Married
46,70,West Virginia,Sylvester,Female,Less than high school,35,Asian,2014,Married
47,36,Iowa,Aurora,Male,"Some college, no degree",165,Native Hawaiian or Other Pacific Islander,2018,Married
48,45,Texas,Tyler,Female,Bachelor’s degree,125,Native Hawaiian or Other Pacific Islander,2020,Single
49,20,Ohio,Canton,Male,Associate degree,35,Blac or African American,2020,Divorced
50,36,Illinois,Sandoval,Female,High school diploma or equivalent,75,Blac or African American,2016,Single
51,75,Michigan,Laeside,Female,Doctoral degree,215,White,2017,Married
52,23,California,irwood,Female,Doctoral degree,185,Asian,2010,Single
53,32,California,Calipatria,Female,Bachelor’s degree,55,Blac or African American,2020,Widowed
54,18,West Virginia,Big Cree,Male,Master’s degree,285,Blac or African American,2017,Single
55,65,entucy,Louisville,Female,Doctoral degree,145,White,2013,Married
56,50,Vermont,Cabot,Female,"Some college, no degree",65,Blac or African American,2012,Divorced
57,40,Pennsylvania,Lae City,Female,Master’s degree,65,Native Hawaiian or Other Pacific Islander,2012,Single
58,37,Iowa,Le Mars,Male,Master’s degree,145,White,2012,Divorced
59,53,New Jersey,Linden,Female,"Some college, no degree",245,Asian,2020,Divorced
60,40,Florida,West Palm Beach,Female,Doctoral degree,105,Native Hawaiian or Other Pacific Islander,2016,Single
61,33,ansas,Topea,Male,Doctoral degree,185,Native Hawaiian or Other Pacific Islander,2013,Married
62,77,West Virginia,Sprague,Female,"Some college, no degree",65,Blac or African American,2019,Married
